period,user,stage2_ratio,stage3_ratio
k4,f37,0.6,0.6
k1,f38,0.6,1.0
k2,f38,0.6,0.6
k3,f38,0.6,0.6
k4,f38,0.6,0.6
k1,f39,0.6,0.6
k2,f39,0.6,0.6
k3,f39,0.6,0.6
k4,f39,0.6,0.6
k1,f40,0.6,1.0
k2,f40,0.6,1.0
k3,f40,0.6,1.0
k4,f40,0.6,0.6
k1,f41,0.6,1.0
k2,f41,0.6,1.0
k3,f41,0.6,1.0
k4,f41,0.6,0.6
k1,f42,0.6,1.0
k2,f42,0.6,0.6
k3,f42,0.6,0.6
k4,f42,0.6,0.6
k1,f43,0.6,0.6
k2,f43,0.6,0.6
k3,f43,0.6,0.6
k4,f43,0.6,0.6
k1,f44,0.6,0.6
k2,f44,0.6,0.6
k3,f44,0.6,0.6
k4,f44,0.6,0.6
k1,f45,0.6,1.0
k2,f45,0.6,1.0
k3,f45,0.6,0.6
k4,f45,0.6,0.6
k1,f46,0.6,1.0
k2,f46,0.6,1.0
k3,f46,0.6,0.6
k4,f46,0.6,0.6
k1,f47,0.6,1.0
k2,f47,0.6,1.0
k3,f47,0.6,1.0
k4,f47,0.6,0.6
k1,f48,0.6,0.6
k2,f48,0.6,0.6
k3,f48,0.6,0.6
k4,f48,0.6,0.6
k1,f49,0.6,1.0
k2,f49,0.6,1.0
k3,f49,0.6,0.6
k4,f49,0.6,0.6
k1,f50,0.6,1.0
k2,f50,0.6,1.0
k3,f50,0.6,1.0
k4,f50,0.6,0.6
k1,f51,0.6,1.0
k2,f51,0.6,1.0
k3,f51,0.6,1.0
k4,f51,0.6,0.6
k1,f52,0.6,0.6
k2,f52,0.6,0.6
k3,f52,0.6,0.6
k4,f52,0.6,0.6
k1,f53,0.6,0.6
k2,f53,0.6,0.6
k3,f53,0.6,0.6
k4,f53,0.6,0.6
k1,f54,0.6,1.0
k2,f54,0.6,1.0
k3,f54,0.6,1.0
k4,f54,0.6,0.6
k1,f55,0.6,1.0
k2,f55,0.6,1.0
k3,f55,0.6,0.6
k4,f55,0.6,0.6
k1,f56,0.6,0.6
k2,f56,0.6,0.6
k3,f56,0.6,0.6
k4,f56,0.6,0.6
k1,f57,0.6,0.6
k2,f57,0.6,0.6
k3,f57,0.6,0.6
k4,f57,0.6,0.6
k1,f58,0.6,1.0
k2,f58,0.6,1.0
k3,f58,0.6,0.6
k4,f58,0.6,0.6
k1,f59,0.6,1.0
k2,f59,0.6,1.0
k3,f59,0.6,0.6
k4,f59,0.6,0.6
k1,f60,0.6,1.0
k2,f60,0.6,0.6
k3,f60,0.6,0.6
k4,f60,0.6,0.6
k1,f61,0.6,0.6
k2,f61,0.6,0.6
k3,f61,0.6,0.6
k4,f61,0.6,0.6
k1,f62,0.6,1.0
k2,f62,0.6,1.0
k3,f62,0.6,0.6
k4,f62,0.6,0.6
k1,f63,0.6,1.0
k2,f63,0.6,1.0
k3,f63,0.6,1.0
k4,f63,0.6,0.6
k1,f64,0.6,1.0
k2,f64,0.6,0.6
k3,f64,0.6,0.6
k4,f64,0.6,0.6
k1,f65,0.6,0.6
k2,f65,0.6,0.6
k3,f65,0.6,0.6
k4,f65,0.6,0.6
k1,f66,0.6,0.6
k2,f66,0.6,0.6
k3,f66,0.6,0.6
k4,f66,0.6,0.6
k1,f67,0.6,1.0
k2,f67,0.6,1.0
k3,f67,0.6,0.6
k4,f67,0.6,0.6
k1,f68,0.6,1.0
k2,f68,0.6,1.0
k3,f68,0.6,0.6
k4,f68,0.6,0.6
k1,f69,0.6,1.0
k2,f69,0.6,1.0
k3,f69,0.6,1.0
k4,f69,0.6,0.6
k1,f70,0.6,0.6
k2,f70,0.6,0.6
k3,f70,0.6,0.6
k4,f70,0.6,0.6
k1,f71,0.6,1.0
k2,f71,0.6,1.0
k3,f71,0.6,0.6
k4,f71,0.6,0.6
k1,f72,0.6,1.0
k2,f72,0.6,1.0
k3,f72,0.6,0.6
k4,f72,0.6,0.6
k1,f73,0.6,1.0
k2,f73,0.6,0.6
k3,f73,0.6,0.6
k4,f73,0.6,0.6
k1,f74,0.6,0.6
k2,f74,0.6,0.6
k3,f74,0.6,0.6
k4,f74,0.6,0.6
k1,f75,0.6,0.6
k2,f75,0.6,0.6
k3,f75,0.6,0.6
k4,f75,0.6,0.6
k1,f76,0.6,1.0
k2,f76,0.6,1.0
k3,f76,0.6,1.0
k4,f76,0.6,0.6
k1,f77,0.6,1.0
k2,f77,0.6,0.6
k3,f77,0.6,0.6
k4,f77,0.6,0.6
k1,f78,0.6,1.0
k2,f78,0.6,1.0
k3,f78,0.6,1.0
k4,f78,0.6,0.6
k1,f79,0.6,0.6
k2,f79,0.6,0.6
k3,f79,0.6,0.6
k4,f79,0.6,0.6
k1,f80,0.6,1.0
k2,f80,0.6,1.0
k3,f80,0.6,0.6
k4,f80,0.6,0.6
k1,f81,0.6,1.0
k2,f81,0.6,1.0
k3,f81,0.6,1.0
k4,f81,0.6,0.6
k1,f82,0.6,1.0
k2,f82,0.6,1.0
k3,f82,0.6,1.0
k4,f82,0.6,0.6
k1,f83,0.6,0.6
k2,f83,0.6,0.6
k3,f83,0.6,0.6
k4,f83,0.6,0.6
k1,f84,0.6,0.6
k2,f84,0.6,0.6
k3,f84,0.6,0.6
k4,f84,0.6,0.6
k1,f85,0.6,1.0
k2,f85,0.6,1.0
k3,f85,0.6,1.0
k4,f85,0.6,0.6
k1,f86,0.6,1.0
k2,f86,0.6,1.0
k3,f86,0.6,0.6
k4,f86,0.6,0.6
k1,f87,0.6,0.6
k2,f87,0.6,0.6
k3,f87,0.6,0.6
k4,f87,0.6,0.6
k1,f88,0.6,0.6
k2,f88,0.6,0.6
k3,f88,0.6,0.6
k4,f88,0.6,0.6
k1,f89,0.6,1.0
k2,f89,0.6,1.0
k3,f89,0.6,1.0
k4,f89,0.6,0.6
k1,f90,0.6,1.0
k2,f90,0.6,1.0
k3,f90,0.6,1.0
k4,f90,0.6,0.6
k1,f91,0.6,1.0
k2,f91,0.6,0.6
k3,f91,0.6,0.6
k4,f91,0.6,0.6
k1,f92,0.6,0.6
k2,f92,0.6,0.6
k3,f92,0.6,0.6
k4,f92,0.6,0.6
k1,f93,0.6,1.0
k2,f93,0.6,1.0
k3,f93,0.6,1.0
k4,f93,0.6,0.6
k1,f94,0.6,1.0
k2,f94,0.6,1.0
k3,f94,0.6,0.6
k4,f94,0.6,0.6
k1,f95,0.6,1.0
k2,f95,0.6,0.6
k3,f95,0.6,0.6
k4,f95,0.6,0.6
k1,f96,0.6,0.6
k2,f96,0.6,0.6
k3,f96,0.6,0.6
k4,f96,0.6,0.6
k1,f97,0.6,0.6
k2,f97,0.6,0.6
k3,f97,0.6,0.6
k4,f97,0.6,0.6
k1,f98,0.6,1.0
k2,f98,0.6,1.0
k3,f98,0.6,0.6
k4,f98,0.6,0.6
k1,f99,0.6,1.0
k2,f99,0.6,0.6
k3,f99,0.6,0.6
k4,f99,0.6,0.6
k1,f100,0.6,1.0
k2,f100,0.6,1.0
k3,f100,0.6,1.0
k4,f100,0.6,0.6
k1,f101,0.6,0.6
k2,f101,0.6,0.6
k3,f101,0.6,0.6
k4,f101,0.6,0.6
k1,f102,0.6,1.0
k2,f102,0.6,1.0
k3,f102,0.6,0.6
k4,f102,0.6,0.6
k1,f103,0.6,1.0
k2,f103,0.6,1.0
k3,f103,0.6,1.0
k4,f103,0.6,0.6
k1,f104,0.6,1.0
k2,f104,0.6,0.6
k3,f104,0.6,0.6
k4,f104,0.6,0.6
k1,f105,0.6,0.6
k2,f105,0.6,0.6
k3,f105,0.6,0.6
k4,f105,0.6,0.6
k1,f106,0.6,0.6
k2,f106,0.6,0.6
k3,f106,0.6,0.6
k4,f106,0.6,0.6
k1,f107,0.6,1.0
k2,f107,0.6,1.0
k3,f107,0.6,1.0
k4,f107,0.6,0.6
k1,f108,0.6,1.0
k2,f108,0.6,1.0
k3,f108,0.6,1.0
k4,f108,0.6,0.6
k1,f109,0.6,1.0
k2,f109,0.6,1.0
k3,f109,0.6,1.0
k4,f109,0.6,0.6
k1,f110,0.6,0.6
k2,f110,0.6,0.6
k3,f110,0.6,0.6
k4,f110,0.6,0.6
k1,f111,0.6,1.0
k2,f111,0.6,0.6
k3,f111,0.6,0.6
k4,f111,0.6,0.6
k1,f112,0.6,1.0
k2,f112,0.6,0.6
k3,f112,0.6,0.6
k4,f112,0.6,0.6
k1,f113,0.6,1.0
k2,f113,0.6,1.0
k3,f113,0.6,1.0
k4,f113,0.6,0.6
k1,f114,0.6,0.6
k2,f114,0.6,0.6
k3,f114,0.6,0.6
k4,f114,0.6,0.6
k1,f115,0.6,0.6
k2,f115,0.6,0.6
k3,f115,0.6,0.6
k4,f115,0.6,0.6
k1,f116,0.6,1.0
k2,f116,0.6,1.0
k3,f116,0.6,0.6
k4,f116,0.6,0.6
k1,f117,0.6,1.0
k2,f117,0.6,1.0
k3,f117,0.6,1.0
k4,f117,0.6,0.6
k1,f118,0.6,0.6
k2,f118,0.6,0.6
k3,f118,0.6,0.6
k4,f118,0.6,0.6
k1,f119,0.6,0.6
k2,f119,0.6,0.6
k3,f119,0.6,0.6
k4,f119,0.6,0.6
k1,f120,0.6,1.0
k2,f120,0.6,1.0
k3,f120,0.6,1.0
k4,f120,0.6,0.6
k1,f121,0.6,1.0
k2,f121,0.6,0.6
k3,f121,0.6,0.6
k4,f121,0.6,0.6
k1,f122,0.6,1.0
k2,f122,0.6,1.0
k3,f122,0.6,0.6
k4,f122,0.6,0.6
k1,f123,0.6,0.6
k2,f123,0.6,0.6
k3,f123,0.6,0.6
k4,f123,0.6,0.6
k1,f124,0.6,1.0
k2,f124,0.6,1.0
k3,f124,0.6,1.0
k4,f124,0.6,0.6
k1,f125,0.6526315789472356,1.0
k2,f125,0.6,1.0
k3,f125,0.6,0.6
k4,f125,0.6,0.6
k1,f126,1.0,1.0
k2,f126,0.6,0.6
k3,f126,0.6,0.6
k4,f126,0.6,0.6
k1,f127,1.0,0.6
k2,f127,0.6,0.6
k3,f127,0.6,0.6
k4,f127,0.6,0.6
k1,f128,1.0,0.6
k2,f128,0.6,0.6
k3,f128,0.6,0.6
k4,f128,0.6,0.6
k1,f129,1.0,1.0
k2,f129,0.6,1.0
k3,f129,0.6,1.0
k4,f129,0.6,0.6
k1,f130,1.0,1.0
k2,f130,0.6,0.7751515151533215
k3,f130,0.6,0.7751515151533215
k4,f130,0.6,0.6
k1,f131,1.0,1.0
k2,f131,0.6,1.0
k3,f131,0.6,0.6
k4,f131,0.6,0.6
k1,f132,1.0,0.6
k2,f132,0.6,0.6
k3,f132,0.6,0.6
k4,f132,0.6,0.6
k1,f133,1.0,1.0
k2,f133,0.6,1.0
k3,f133,0.6,1.0
k4,f133,0.6,0.6
k1,f134,1.0,1.0
k2,f134,0.6,1.0
k3,f134,0.6,0.6
k4,f134,0.6,0.6
k1,f135,1.0,1.0
k2,f135,0.6,1.0
k3,f135,0.6,1.0
k4,f135,0.6,0.6
k1,f136,1.0,0.6
k2,f136,0.6,0.6
k3,f136,0.6,0.6
k4,f136,0.6,0.6
k1,f137,1.0,0.6
k2,f137,0.6,0.6
k3,f137,0.6,0.6
k4,f137,0.6,0.6
k1,f138,1.0,1.0
k2,f138,0.6,1.0
k3,f138,0.6,1.0
k4,f138,0.6,0.6
k1,f139,1.0,1.0
k2,f139,0.6,0.6
k3,f139,0.6,0.6
k4,f139,0.6,0.6
k1,f140,1.0,1.0
k2,f140,0.6,1.0
k3,f140,0.6,1.0
k4,f140,0.6,0.6
k1,f141,1.0,0.6
k2,f141,0.6,0.6
k3,f141,0.6,0.6
k4,f141,0.6,0.6
k1,f142,1.0,1.0
k2,f142,0.6,1.0
k3,f142,0.6,1.0
k4,f142,0.6,0.6
k1,f143,1.0,1.0
k2,f143,0.6,0.6
k3,f143,0.6,0.6
k4,f143,0.6,0.6
k1,f144,1.0,1.0
k2,f144,0.6,0.6
k3,f144,0.6,0.6
k4,f144,0.6,0.6
k1,f145,1.0,0.6
k2,f145,0.6,0.6
k3,f145,0.6,0.6
k4,f145,0.6,0.6
k1,f146,1.0,0.6
k2,f146,0.6,0.6
k3,f146,0.6,0.6
k4,f146,0.6,0.6
k1,f147,1.0,1.0
k2,f147,0.6,1.0
k3,f147,0.6,1.0
k4,f147,0.6,0.6
k1,f148,1.0,1.0
k2,f148,0.6,0.6
k3,f148,0.6,0.6
k4,f148,0.6,0.6
k1,f149,1.0,0.6
k2,f149,0.6,0.6
k3,f149,0.6,0.6
k4,f149,0.6,0.6
k1,f150,1.0,0.6
k2,f150,0.6,0.6
k3,f150,0.6,0.6
k4,f150,0.6,0.6
k1,f151,1.0,1.0
k2,f151,0.6,1.0
k3,f151,0.6,1.0
k4,f151,0.6,0.6
k1,f152,1.0,1.0
k2,f152,0.6,0.6
k3,f152,0.6,0.6
k4,f152,0.6,0.6
k1,f153,1.0,1.0
k2,f153,0.6,1.0
k3,f153,0.6,1.0
k4,f153,0.6,0.6
k1,f154,1.0,0.6
k2,f154,0.6,0.6
k3,f154,0.6,0.6
k4,f154,0.6,0.6
k1,f155,1.0,1.0
k2,f155,0.6,0.6
k3,f155,0.6,0.6
k4,f155,0.6,0.6
k1,f156,1.0,1.0
k2,f156,0.6,1.0
k3,f156,0.6,0.6
k4,f156,0.6,0.6
k1,f157,1.0,1.0
k2,f157,0.6,0.6
k3,f157,0.6,0.6
k4,f157,0.6,0.6
k1,f158,1.0,0.6
k2,f158,0.6,0.6
k3,f158,0.6,0.6
k4,f158,0.6,0.6
k1,f159,1.0,0.6
k2,f159,0.6,0.6
k3,f159,0.6,0.6
k4,f159,0.6,0.6
k1,f160,1.0,1.0
k2,f160,0.6,1.0
k3,f160,0.6,1.0
k4,f160,0.6,0.6
k1,f161,1.0,1.0
k2,f161,0.6,1.0
k3,f161,0.6,0.6
k4,f161,0.6,0.6
k1,f162,1.0,1.0
k2,f162,0.6,1.0
k3,f162,0.6,1.0
k4,f162,0.6,0.6
k1,f163,1.0,0.6
k2,f163,0.6,0.6
k3,f163,0.6,0.6
k4,f163,0.6,0.6
k1,f164,1.0,1.0
k2,f164,0.6,1.0
k3,f164,0.6,0.6
k4,f164,0.6,0.6
k1,f165,1.0,1.0
k2,f165,0.6,1.0
k3,f165,0.6,1.0
k4,f165,0.6,0.6
k1,f166,1.0,1.0
k2,f166,0.6,1.0
k3,f166,0.6,1.0
k4,f166,0.6,0.6
k1,f167,1.0,0.6
k2,f167,0.6,0.6
k3,f167,0.6,0.6
k4,f167,0.6,0.6
k1,f168,1.0,0.6
k2,f168,0.6,0.6
k3,f168,0.6,0.6
k4,f168,0.6,0.6
k1,f169,1.0,1.0
k2,f169,0.6,1.0
k3,f169,0.6,0.6
k4,f169,0.6,0.6
k1,f170,1.0,1.0
k2,f170,0.6,1.0
k3,f170,0.6,1.0
k4,f170,0.6,0.6
k1,f171,1.0,1.0
k2,f171,0.6,0.6
k3,f171,0.6,0.6
k4,f171,0.6,0.6
k1,f172,1.0,0.6
k2,f172,0.6,0.6
k3,f172,0.6,0.6
k4,f172,0.6,0.6
k1,f173,1.0,1.0
k2,f173,0.6,1.0
k3,f173,0.6,0.6
k4,f173,0.6,0.6
k1,f174,1.0,1.0
k2,f174,0.6,0.6
k3,f174,0.6,0.6
k4,f174,0.6,0.6
k1,f175,1.0,1.0
k2,f175,0.6,1.0
k3,f175,0.6,1.0
k4,f175,0.6,0.6
k1,f176,1.0,0.6
k2,f176,0.6,0.6
k3,f176,0.6,0.6
k4,f176,0.6,0.6
k1,f177,1.0,0.6
k2,f177,0.6,0.6
k3,f177,0.6,0.6
k4,f177,0.6,0.6
k1,f178,1.0,1.0
k2,f178,0.6,1.0
k3,f178,0.6,0.6
k4,f178,0.6,0.6
k1,f179,1.0,1.0
k2,f179,0.6,1.0
k3,f179,0.6,1.0
k4,f179,0.6,0.6
k1,f180,1.0,0.6
k2,f180,0.6,0.6
k3,f180,0.6,0.6
k4,f180,0.6,0.6
k1,f181,1.0,0.6
k2,f181,0.6,0.6
k3,f181,0.6,0.6
k4,f181,0.6,0.6
k1,f182,1.0,1.0
k2,f182,0.6,1.0
k3,f182,0.6,1.0
k4,f182,0.6,0.6
k1,f183,1.0,1.0
k2,f183,0.6,0.6
k3,f183,0.6,0.6
k4,f183,0.6,0.6
k1,f184,1.0,1.0
k2,f184,0.6,1.0
k3,f184,0.6,1.0
k4,f184,0.6,0.6
k1,f185,1.0,0.6
k2,f185,0.6,0.6
k3,f185,0.6,0.6
k4,f185,0.6,0.6
k1,f186,1.0,1.0
k2,f186,0.6,1.0
k3,f186,0.6,1.0
k4,f186,0.6,0.6
k1,f187,1.0,1.0
k2,f187,0.6,1.0
k3,f187,0.6,0.6
k4,f187,0.6,0.6
k1,f188,1.0,1.0
k2,f188,0.6,1.0
k3,f188,0.6,1.0
k4,f188,0.6,0.6
k1,f189,1.0,0.6
k2,f189,0.6,0.6
k3,f189,0.6,0.6
k4,f189,0.6,0.6
k1,f190,1.0,0.6
k2,f190,0.6,0.6
k3,f190,0.6,0.6
k4,f190,0.6,0.6
k1,f191,1.0,1.0
k2,f191,0.6,1.0
k3,f191,0.6,1.0
k4,f191,0.6,0.6
k1,f192,1.0,1.0
k2,f192,0.6,0.6
k3,f192,0.6,0.6
k4,f192,0.6,0.6
k1,f193,1.0,1.0
k2,f193,0.6,0.6
k3,f193,0.6,0.6
k4,f193,0.6,0.6
k1,f194,1.0,0.6
k2,f194,0.6,0.6
k3,f194,0.6,0.6
k4,f194,0.6,0.6
k1,f195,1.0,1.0
k2,f195,0.6,1.0
k3,f195,0.6,1.0
k4,f195,0.6,0.6
k1,f196,1.0,1.0
k2,f196,0.6,1.0
k3,f196,0.6,1.0
k4,f196,0.6,0.6
k1,f197,1.0,1.0
k2,f197,0.6,0.6
k3,f197,0.6,0.6
k4,f197,0.6,0.6
k1,f198,1.0,0.6
k2,f198,0.6,0.6
k3,f198,0.6,0.6
k4,f198,0.6,0.6
k1,f199,1.0,0.6
k2,f199,0.6,0.6
k3,f199,0.6,0.6
k4,f199,0.6,0.6
k1,f200,1.0,1.0
k2,f200,0.6,1.0
k3,f200,0.6,1.0
k4,f200,0.6,0.6
k1,f201,1.0,1.0
k2,f201,0.6,0.6
k3,f201,0.6,0.6
k4,f201,0.6,0.6
k1,f202,1.0,1.0
k2,f202,0.6,1.0
k3,f202,0.6,1.0
k4,f202,0.6,0.6
k1,f203,1.0,0.6
k2,f203,0.6,0.6
k3,f203,0.6,0.6
k4,f203,0.6,0.6
k1,f204,1.0,1.0
k2,f204,0.6,1.0
k3,f204,0.6,1.0
k4,f204,0.6,0.6
k1,f205,1.0,1.0
k2,f205,0.6,0.6
k3,f205,0.6,0.6
k4,f205,0.6,0.6
k1,f206,1.0,1.0
k2,f206,0.6,1.0
k3,f206,0.6,1.0
k4,f206,0.6,0.6
k1,f207,1.0,0.6
k2,f207,0.6,0.6
k3,f207,0.6,0.6
k4,f207,0.6,0.6
k1,f208,1.0,0.6
k2,f208,0.6,0.6
k3,f208,0.6,0.6
k4,f208,0.6,0.6
k1,f209,1.0,1.0
k2,f209,0.6,1.0
k3,f209,0.6,1.0
k4,f209,0.6,0.6
k1,f210,1.0,1.0
k2,f210,0.6,1.0
k3,f210,0.6,1.0
k4,f210,0.6,0.6
k1,f211,1.0,0.6
k2,f211,0.6,0.6
k3,f211,0.6,0.6
k4,f211,0.6,0.6
k1,f212,1.0,0.6
k2,f212,0.6,0.6
k3,f212,0.6,0.6
k4,f212,0.6,0.6
k1,f213,1.0,1.0
k2,f213,0.6,1.0
k3,f213,0.6,1.0
k4,f213,0.6,0.6
k1,f214,1.0,1.0
k2,f214,0.6,0.6
k3,f214,0.6,0.6
k4,f214,0.6,0.6
k1,f215,1.0,1.0
k2,f215,0.6,1.0
k3,f215,0.6,0.6
k4,f215,0.6,0.6
k1,f216,1.0,0.6
k2,f216,0.6,0.6
k3,f216,0.6,0.6
k4,f216,0.6,0.6
k1,f217,1.0,1.0
k2,f217,0.6,1.0
k3,f217,0.6,0.6
k4,f217,0.6,0.6
k1,f218,1.0,1.0
k2,f218,0.6,1.0
k3,f218,0.6,1.0
k4,f218,0.6,0.6
k1,f219,1.0,1.0
k2,f219,0.6,0.6
k3,f219,0.6,0.6
k4,f219,0.6,0.6
k1,f220,1.0,0.6
k2,f220,0.6,0.6
k3,f220,0.6,0.6
k4,f220,0.6,0.6
k1,f221,1.0,0.6
k2,f221,0.6,0.6
k3,f221,0.6,0.6
k4,f221,0.6,0.6
k1,f222,1.0,1.0
k2,f222,0.6,1.0
k3,f222,0.6,0.6
k4,f222,0.6,0.6
k1,f223,1.0,1.0
k2,f223,0.6,0.6
k3,f223,0.6,0.6
k4,f223,0.6,0.6
k1,f224,1.0,1.0
k2,f224,0.6,1.0
k3,f224,0.6,1.0
k4,f224,0.6,0.6
k1,f225,1.0,0.6
k2,f225,0.6,0.6
k3,f225,0.6,0.6
k4,f225,0.6,0.6
k1,f226,1.0,1.0
k2,f226,0.6,1.0
k3,f226,0.6,0.6
k4,f226,0.6,0.6
k1,f227,1.0,1.0
k2,f227,0.6,1.0
k3,f227,0.6,1.0
k4,f227,0.6,0.6
k1,f228,1.0,1.0
k2,f228,0.6,1.0
k3,f228,0.6,1.0
k4,f228,0.6,0.6
k1,f229,1.0,0.6
k2,f229,0.6,0.6
k3,f229,0.6,0.6
k4,f229,0.6,0.6
k1,f230,1.0,0.6
k2,f230,0.6,0.6
k3,f230,0.6,0.6
k4,f230,0.6,0.6
k1,f231,1.0,1.0
k2,f231,0.6,1.0
k3,f231,0.6,1.0
k4,f231,0.6,0.6
k1,f232,1.0,1.0
k2,f232,0.6,0.6
k3,f232,0.6,0.6
k4,f232,0.6,0.6
k1,f233,1.0,1.0
k2,f233,0.6,1.0
k3,f233,0.6,0.6
k4,f233,0.6,0.6
k1,f234,1.0,0.6
k2,f234,0.6,0.6
k3,f234,0.6,0.6
k4,f234,0.6,0.6
k1,f235,1.0,1.0
k2,f235,0.6,1.0
k3,f235,0.6,1.0
k4,f235,0.6,0.6
k1,f236,1.0,1.0
k2,f236,0.6,0.6
k3,f236,0.6,0.6
k4,f236,0.6,0.6
k1,f237,1.0,1.0
k2,f237,0.6,1.0
k3,f237,0.6,1.0
k4,f237,0.6,0.6
k1,f238,1.0,0.6
k2,f238,0.6,0.6
k3,f238,0.6,0.6
k4,f238,0.6,0.6
k1,f239,1.0,0.8133333333323289
k2,f239,0.6,0.8133333333323289
k3,f239,0.6,0.6
k4,f239,0.6,0.6
k1,f240,1.0,1.0
k2,f240,0.6,1.0
k3,f240,0.6,1.0
k4,f240,0.6,0.6
k1,f241,1.0,1.0
k2,f241,0.6,1.0
k3,f241,0.6,0.6
k4,f241,0.6,0.6
k1,f242,1.0,0.6
k2,f242,0.6,0.6
k3,f242,0.6,0.6
k4,f242,0.6,0.6
k1,f243,1.0,0.6
k2,f243,0.6,0.6
k3,f243,0.6,0.6
k4,f243,0.6,0.6
k1,f244,1.0,1.0
k2,f244,0.6,1.0
k3,f244,0.6,1.0
k4,f244,0.6,0.6
k1,f245,1.0,1.0
k2,f245,0.6,1.0
k3,f245,0.6,0.6
k4,f245,0.6,0.6
k1,f246,1.0,1.0
k2,f246,0.6,0.6
k3,f246,0.6,0.6
k4,f246,0.6,0.6
k1,f247,1.0,0.6
k2,f247,0.6,0.6
k3,f247,0.6,0.6
k4,f247,0.6,0.6
k1,f248,1.0,1.0
k2,f248,0.6,1.0
k3,f248,0.6,1.0
k4,f248,0.6,0.6
k1,f249,1.0,1.0
k2,f249,0.6,1.0
