period,user,demand,stage1_ratio,stage2_ratio,stage3_ratio
k1,f55,44,0.6,0.6,1.0
k1,f56,20,0.6,0.6,0.6
k1,f57,27,0.6,0.6,0.6
k1,f58,34,0.6,0.6,1.0
k1,f59,41,0.6,0.6,1.0
k1,f60,48,0.6,0.6,1.0
k1,f61,24,0.6,0.6,0.6
k1,f62,31,0.6,0.6,1.0
k1,f63,38,0.6,0.6,1.0
k1,f64,45,0.6,0.6,1.0
k1,f65,21,0.6,0.6,0.6
k1,f66,28,0.6,0.6,0.6
k1,f67,35,0.6,0.6,1.0
k1,f68,42,0.6,0.6,1.0
k1,f69,49,0.6,0.6,1.0
k1,f70,25,0.6,0.6,0.6
k1,f71,32,0.6,0.6,1.0
k1,f72,39,0.6,0.6,1.0
k1,f73,46,0.6,0.6,1.0
k1,f74,22,0.6,0.6,0.6
k1,f75,29,0.6,0.6,0.6
k1,f76,36,0.6,0.6,1.0
k1,f77,43,0.6,0.6,1.0
k1,f78,50,0.6,0.6,1.0
k1,f79,26,0.6,0.6,0.6
k1,f80,33,0.6,0.6,1.0
k1,f81,40,0.6,0.6,1.0
k1,f82,47,0.6,0.6,1.0
k1,f83,23,0.6,0.6,0.6
k1,f84,30,0.6,0.6,0.6
k1,f85,37,0.6,0.6,1.0
k1,f86,44,0.6,0.6,1.0
k1,f87,20,0.6,0.6,0.6
k1,f88,27,0.6,0.6,0.6
k1,f89,34,0.6,0.6,1.0
k1,f90,41,0.6,0.6,1.0
k1,f91,48,0.6,0.6,1.0
k1,f92,24,0.6,0.6,0.6
k1,f93,31,0.6,0.6,1.0
k1,f94,38,0.6,0.6,1.0
k1,f95,45,0.6,0.6,1.0
k1,f96,21,0.6,0.6,0.6
k1,f97,28,0.6,0.6,0.6
k1,f98,35,0.6,0.6,1.0
k1,f99,42,0.6,0.6,1.0
k1,f100,49,0.6,0.6,1.0
k1,f101,25,0.6,0.6,0.6
k1,f102,32,0.6,0.6,1.0
k1,f103,39,0.6,0.6,1.0
k1,f104,46,0.6,0.6,1.0
k1,f105,22,0.6,0.6,0.6
k1,f106,29,0.6,0.6,0.6
k1,f107,36,0.6,0.6,1.0
k1,f108,43,0.6,0.6,1.0
k1,f109,50,0.6,0.6,1.0
k1,f110,26,0.6,0.6,0.6
k1,f111,33,0.6,0.6,1.0
k1,f112,40,0.6,0.6,1.0
k1,f113,47,0.6,0.6,1.0
k1,f114,23,0.6,0.6,0.6
k1,f115,30,0.6,0.6,0.6
k1,f116,37,0.6,0.6,1.0
k1,f117,44,0.6,0.6,1.0
k1,f118,20,0.6,0.6,0.6
k1,f119,27,0.6,0.6,0.6
k1,f120,34,0.6,0.6,1.0
k1,f121,41,0.6,0.6,1.0
k1,f122,48,0.6,0.6,1.0
k1,f123,24,0.6,0.6,0.6
k1,f124,31,0.6,0.6,1.0
k1,f125,38,0.6,0.6526315789472356,1.0
k1,f126,45,0.6,1.0,1.0
k1,f127,21,0.6,1.0,0.6
k1,f128,28,0.6,1.0,0.6
k1,f129,35,0.6,1.0,1.0
k1,f130,42,0.6,1.0,1.0
k1,f131,49,0.6,1.0,1.0
k1,f132,25,0.6,1.0,0.6
k1,f133,32,0.6,1.0,1.0
k1,f134,39,0.6,1.0,1.0
k1,f135,46,0.6,1.0,1.0
k1,f136,22,0.6,1.0,0.6
k1,f137,29,0.6,1.0,0.6
k1,f138,36,0.6,1.0,1.0
k1,f139,43,0.6,1.0,1.0
k1,f140,50,0.6,1.0,1.0
k1,f141,26,0.6,1.0,0.6
k1,f142,33,0.6,1.0,1.0
k1,f143,40,0.6,1.0,1.0
k1,f144,47,0.6,1.0,1.0
k1,f145,23,0.6,1.0,0.6
k1,f146,30,0.6,1.0,0.6
k1,f147,37,0.6,1.0,1.0
k1,f148,44,0.6,1.0,1.0
k1,f149,20,0.6,1.0,0.6
k1,f150,27,0.6,1.0,0.6
k1,f151,34,0.6,1.0,1.0
k1,f152,41,0.6,1.0,1.0
k1,f153,48,0.6,1.0,1.0
k1,f154,24,0.6,1.0,0.6
k1,f155,31,0.6,1.0,1.0
k1,f156,38,0.6,1.0,1.0
k1,f157,45,0.6,1.0,1.0
k1,f158,21,0.6,1.0,0.6
k1,f159,28,0.6,1.0,0.6
k1,f160,35,0.6,1.0,1.0
k1,f161,42,0.6,1.0,1.0
k1,f162,49,0.6,1.0,1.0
k1,f163,25,0.6,1.0,0.6
k1,f164,32,0.6,1.0,1.0
k1,f165,39,0.6,1.0,1.0
k1,f166,46,0.6,1.0,1.0
k1,f167,22,0.6,1.0,0.6
k1,f168,29,0.6,1.0,0.6
k1,f169,36,0.6,1.0,1.0
k1,f170,43,0.6,1.0,1.0
k1,f171,50,0.6,1.0,1.0
k1,f172,26,0.6,1.0,0.6
k1,f173,33,0.6,1.0,1.0
k1,f174,40,0.6,1.0,1.0
k1,f175,47,0.6,1.0,1.0
k1,f176,23,0.6,1.0,0.6
k1,f177,30,0.6,1.0,0.6
k1,f178,37,0.6,1.0,1.0
k1,f179,44,0.6,1.0,1.0
k1,f180,20,0.6,1.0,0.6
k1,f181,27,0.6,1.0,0.6
k1,f182,34,0.6,1.0,1.0
k1,f183,41,0.6,1.0,1.0
k1,f184,48,0.6,1.0,1.0
k1,f185,24,0.6,1.0,0.6
k1,f186,31,0.6,1.0,1.0
k1,f187,38,0.6,1.0,1.0
k1,f188,45,0.6,1.0,1.0
k1,f189,21,0.6,1.0,0.6
k1,f190,28,0.6,1.0,0.6
k1,f191,35,0.6,1.0,1.0
k1,f192,42,0.6,1.0,1.0
k1,f193,49,0.6,1.0,1.0
k1,f194,25,0.6,1.0,0.6
k1,f195,32,0.6,1.0,1.0
k1,f196,39,0.6,1.0,1.0
k1,f197,46,0.6,1.0,1.0
k1,f198,22,0.6,1.0,0.6
k1,f199,29,0.6,1.0,0.6
k1,f200,36,0.6,1.0,1.0
k1,f201,43,0.6,1.0,1.0
k1,f202,50,0.6,1.0,1.0
k1,f203,26,0.6,1.0,0.6
k1,f204,33,0.6,1.0,1.0
k1,f205,40,0.6,1.0,1.0
k1,f206,47,0.6,1.0,1.0
k1,f207,23,0.6,1.0,0.6
k1,f208,30,0.6,1.0,0.6
k1,f209,37,0.6,1.0,1.0
k1,f210,44,0.6,1.0,1.0
k1,f211,20,0.6,1.0,0.6
k1,f212,27,0.6,1.0,0.6
k1,f213,34,0.6,1.0,1.0
k1,f214,41,0.6,1.0,1.0
k1,f215,48,0.6,1.0,1.0
k1,f216,24,0.6,1.0,0.6
k1,f217,31,0.6,1.0,1.0
k1,f218,38,0.6,1.0,1.0
k1,f219,45,0.6,1.0,1.0
k1,f220,21,0.6,1.0,0.6
k1,f221,28,0.6,1.0,0.6
k1,f222,35,0.6,1.0,1.0
k1,f223,42,0.6,1.0,1.0
k1,f224,49,0.6,1.0,1.0
k1,f225,25,0.6,1.0,0.6
k1,f226,32,0.6,1.0,1.0
k1,f227,39,0.6,1.0,1.0
k1,f228,46,0.6,1.0,1.0
k1,f229,22,0.6,1.0,0.6
k1,f230,29,0.6,1.0,0.6
k1,f231,36,0.6,1.0,1.0
k1,f232,43,0.6,1.0,1.0
k1,f233,50,0.6,1.0,1.0
k1,f234,26,0.6,1.0,0.6
k1,f235,33,0.6,1.0,1.0
k1,f236,40,0.6,1.0,1.0
k1,f237,47,0.6,1.0,1.0
k1,f238,23,0.6,1.0,0.6
k1,f239,30,0.6,1.0,0.8133333333323289
k1,f240,37,0.6,1.0,1.0
k1,f241,44,0.6,1.0,1.0
k1,f242,20,0.6,1.0,0.6
k1,f243,27,0.6,1.0,0.6
k1,f244,34,0.6,1.0,1.0
k1,f245,41,0.6,1.0,1.0
k1,f246,48,0.6,1.0,1.0
k1,f247,24,0.6,1.0,0.6
k1,f248,31,0.6,1.0,1.0
k1,f249,38,0.6,1.0,1.0
k1,f250,45,0.6,1.0,1.0
k1,f251,21,0.6,1.0,0.6
k1,f252,28,0.6,1.0,0.6
k1,f253,35,0.6,1.0,1.0
k1,f254,42,0.6,1.0,1.0
k1,f255,49,0.6,1.0,1.0
k1,f256,25,0.6,1.0,0.6
k1,f257,32,0.6,1.0,1.0
k1,f258,39,0.6,1.0,1.0
k1,f259,46,0.6,1.0,1.0
k1,f260,22,0.6,1.0,0.6
k1,f261,29,0.6,1.0,0.6
k1,f262,36,0.6,1.0,1.0
k1,f263,43,0.6,1.0,1.0
k1,f264,50,0.6,1.0,1.0
k1,f265,26,0.6,1.0,0.6
k1,f266,33,0.6,1.0,1.0
k1,f267,40,0.6,1.0,1.0
k1,f268,47,0.6,1.0,1.0
k1,f269,23,0.6,1.0,0.6
k1,f270,30,0.6,1.0,0.6
k1,f271,37,0.6,1.0,1.0
k1,f272,44,0.6,1.0,1.0
k1,f273,20,0.6,1.0,0.6
k1,f274,27,0.6,1.0,0.6
k1,f275,34,0.6,1.0,1.0
k1,f276,41,0.6,1.0,1.0
k1,f277,48,0.6,1.0,1.0
k1,f278,24,0.6,1.0,0.6
k1,f279,31,0.6,1.0,1.0
k1,f280,38,0.6,1.0,1.0
k1,f281,45,0.6,1.0,1.0
k1,f282,21,0.6,1.0,0.6
k1,f283,28,0.6,1.0,0.6
k1,f284,35,0.6,1.0,1.0
k1,f285,42,0.6,1.0,1.0
k1,f286,49,0.6,1.0,1.0
k1,f287,25,0.6,1.0,0.6
k1,f288,32,0.6,1.0,1.0
k1,f289,39,0.6,1.0,1.0
k1,f290,46,0.6,1.0,1.0
k1,f291,22,0.6,1.0,0.6
k1,f292,29,0.6,1.0,0.6
k1,f293,36,0.6,1.0,1.0
k1,f294,43,0.6,1.0,1.0
k1,f295,50,0.6,1.0,1.0
k1,f296,26,0.6,1.0,0.6
k1,f297,33,0.6,1.0,1.0
k1,f298,40,0.6,1.0,1.0
k1,f299,47,0.6,1.0,1.0
k1,f300,23,0.6,1.0,0.6
k1,f301,30,0.6,1.0,0.6
k1,f302,37,0.6,1.0,1.0
k1,f303,44,0.6,1.0,1.0
k1,f304,20,0.6,1.0,0.6
k1,f305,27,0.6,1.0,0.6
k1,f306,34,0.6,1.0,1.0
k1,f307,41,0.6,1.0,1.0
k1,f308,48,0.6,1.0,1.0
k1,f309,24,0.6,1.0,0.6
k1,f310,31,0.6,1.0,1.0
k1,f311,38,0.6,1.0,1.0
k1,f312,45,0.6,1.0,1.0
k1,f313,21,0.6,1.0,0.6
k1,f314,28,0.6,1.0,0.6
k1,f315,35,0.6,1.0,1.0
k1,f316,42,0.6,1.0,1.0
k1,f317,49,0.6,1.0,1.0
k1,f318,25,0.6,1.0,0.6
k1,f319,32,0.6,1.0,1.0
k1,f320,39,0.6,1.0,1.0
k1,f321,46,0.6,1.0,1.0
k1,f322,22,0.6,1.0,0.6
k1,f323,29,0.6,1.0,0.6
k1,f324,36,0.6,1.0,1.0
k1,f325,43,0.6,1.0,1.0
k1,f326,50,0.6,1.0,1.0
k1,f327,26,0.6,1.0,0.6
k1,f328,33,0.6,1.0,1.0
k1,f329,40,0.6,1.0,1.0
k1,f330,47,0.6,1.0,1.0
k1,f331,23,0.6,1.0,0.6
k1,f332,30,0.6,1.0,0.6
k1,f333,37,0.6,1.0,1.0
k1,f334,44,0.6,1.0,1.0
k1,f335,20,0.6,1.0,0.6
k1,f336,27,0.6,1.0,0.6
k1,f337,34,0.6,1.0,1.0
k1,f338,41,0.6,1.0,1.0
k1,f339,48,0.6,1.0,1.0
k1,f340,24,0.6,1.0,0.6
k1,f341,31,0.6,1.0,1.0
k1,f342,38,0.6,1.0,1.0
k1,f343,45,0.6,1.0,1.0
k1,f344,21,0.6,1.0,0.6
k1,f345,28,0.6,1.0,0.6
k1,f346,35,0.6,1.0,1.0
k1,f347,42,0.6,1.0,1.0
k1,f348,49,0.6,1.0,1.0
k1,f349,25,0.6,1.0,0.6
k1,f350,32,0.6,1.0,1.0
k1,f351,39,0.6,1.0,1.0
k1,f352,46,0.6,1.0,1.0
k1,f353,22,0.6,1.0,0.6
k1,f354,29,0.6,1.0,0.6
k1,f355,36,0.6,1.0,1.0
k1,f356,43,0.6,1.0,1.0
k1,f357,50,0.6,1.0,1.0
k1,f358,26,0.6,1.0,0.6
k1,f359,33,0.6,1.0,1.0
k1,f360,40,0.6,1.0,1.0
k1,f361,47,0.6,1.0,1.0
k1,f362,23,0.6,1.0,0.6
k1,f363,30,0.6,1.0,0.6
k1,f364,37,0.6,1.0,1.0
k1,f365,44,0.6,1.0,1.0
k1,f366,20,0.6,1.0,0.6
k1,f367,27,0.6,1.0,0.6
k1,f368,34,0.6,1.0,1.0
k1,f369,41,0.6,1.0,1.0
k1,f370,48,0.6,1.0,1.0
k1,f371,24,0.6,1.0,0.6
k1,f372,31,0.6,1.0,1.0
k1,f373,38,0.6,1.0,1.0
k1,f374,45,0.6,1.0,1.0
k1,f375,21,0.6,1.0,0.6
k1,f376,28,0.6,1.0,0.6
k1,f377,35,0.6,1.0,1.0
k1,f378,42,0.6,1.0,1.0
k1,f379,49,0.6,1.0,1.0
k1,f380,25,0.6,1.0,0.6
k1,f381,32,0.6,1.0,1.0
k1,f382,39,0.6,1.0,1.0
k1,f383,46,0.6,1.0,1.0
k1,f384,22,0.6,1.0,0.6
k1,f385,29,0.6,1.0,0.6
k1,f386,36,0.6,1.0,1.0
k1,f387,43,0.6,1.0,1.0
k1,f388,50,0.6,1.0,1.0
k1,f389,26,0.6,1.0,0.6
k1,f390,33,0.6,1.0,1.0
k1,f391,40,0.6,1.0,1.0
k1,f392,47,0.6,1.0,1.0
k1,f393,23,0.6,1.0,0.6
k1,f394,30,0.6,1.0,0.6
k1,f395,37,0.6,1.0,1.0
k1,f396,44,0.6,1.0,1.0
k1,f397,20,0.6,1.0,0.6
k1,f398,27,0.6,1.0,0.6
k1,f399,34,0.6,1.0,1.0
k1,f400,41,0.6,1.0,1.0
k1,f401,48,0.6,1.0,1.0
k1,f402,24,0.6,1.0,0.6
k1,f403,31,0.6,1.0,1.0
k1,f404,38,0.6,1.0,1.0
k1,f405,45,0.6,1.0,1.0
k1,f406,21,0.6,1.0,0.6
k1,f407,28,0.6,1.0,0.6
k1,f408,35,0.6,1.0,1.0
k1,f409,42,0.6,1.0,1.0
k1,f410,49,0.6,1.0,1.0
k1,f411,25,0.6,1.0,0.6
k1,f412,32,0.6,1.0,1.0
k1,f413,39,0.6,1.0,1.0
k1,f414,46,0.6,1.0,1.0
k1,f415,22,0.6,1.0,0.6
k1,f416,29,0.6,1.0,0.6
k1,f417,36,0.6,1.0,1.0
k1,f418,43,0.6,1.0,1.0
k1,f419,50,0.6,1.0,1.0
k1,f420,26,0.6,1.0,0.6
k1,f421,33,0.6,1.0,1.0
k1,f422,40,0.6,1.0,1.0
k1,f423,47,0.6,1.0,1.0
k1,f424,23,0.6,1.0,0.6
k1,f425,30,0.6,1.0,0.6
k1,f426,37,0.6,1.0,1.0
k1,f427,44,0.6,1.0,1.0
k1,f428,20,0.6,1.0,0.6
k1,f429,27,0.6,1.0,0.6
k1,f430,34,0.6,1.0,1.0
k1,f431,41,0.6,1.0,1.0
k1,f432,48,0.6,1.0,1.0
k1,f433,24,0.6,1.0,0.6
k1,f434,31,0.6,1.0,1.0
k1,f435,38,0.6,1.0,1.0
k1,f436,45,0.6,1.0,1.0
k1,f437,21,0.6,1.0,0.6
k1,f438,28,0.6,1.0,0.6
k1,f439,35,0.6,1.0,1.0
k1,f440,42,0.6,1.0,1.0
k1,f441,49,0.6,1.0,1.0
k1,f442,25,0.6,1.0,0.6
k1,f443,32,0.6,1.0,1.0
k1,f444,39,0.6,1.0,1.0
k1,f445,46,0.6,1.0,1.0
k1,f446,22,0.6,1.0,0.6
k1,f447,29,0.6,1.0,0.6
k1,f448,36,0.6,1.0,1.0
k1,f449,43,0.6,1.0,1.0
k1,f450,50,0.6,1.0,1.0
k1,f451,26,0.6,1.0,0.6
k1,f452,33,0.6,1.0,1.0
k1,f453,40,0.6,1.0,1.0
k1,f454,47,0.6,1.0,1.0
k1,f455,23,0.6,1.0,0.6
k1,f456,30,0.6,1.0,0.6
k1,f457,37,0.6,1.0,1.0
k1,f458,44,0.6,1.0,1.0
k1,f459,20,0.6,1.0,0.6
k1,f460,27,0.6,1.0,0.6
k1,f461,34,0.6,1.0,1.0
k1,f462,41,0.6,1.0,1.0
k1,f463,48,0.6,1.0,1.0
k1,f464,24,0.6,1.0,0.6
k1,f465,31,0.6,1.0,1.0
k1,f466,38,0.6,1.0,1.0
k1,f467,45,0.6,1.0,1.0
k1,f468,21,0.6,1.0,0.6
k1,f469,28,0.6,1.0,0.6
k1,f470,35,0.6,1.0,1.0
k1,f471,42,0.6,1.0,1.0
k1,f472,49,0.6,1.0,1.0
k1,f473,25,0.6,1.0,0.6
k1,f474,32,0.6,1.0,1.0
k1,f475,39,0.6,1.0,1.0
k1,f476,46,0.6,1.0,1.0
k1,f477,22,0.6,1.0,0.6
k1,f478,29,0.6,1.0,0.6
k1,f479,36,0.6,1.0,1.0
k1,f480,43,0.6,1.0,1.0
k1,f481,50,0.6,1.0,1.0
k1,f482,26,0.6,1.0,0.6
k1,f483,33,0.6,1.0,1.0
k1,f484,40,0.6,1.0,1.0
k1,f485,47,0.6,1.0,1.0
k1,f486,23,0.6,1.0,0.6
k1,f487,30,0.6,1.0,1.0
k1,f488,37,0.6,1.0,1.0
k1,f489,44,0.6,1.0,1.0
k1,f490,20,0.6,1.0,0.6
k1,f491,27,0.6,1.0,0.6
k1,f492,34,0.6,1.0,1.0
k1,f493,41,0.6,1.0,1.0
k1,f494,48,0.6,1.0,1.0
k1,f495,24,0.6,1.0,0.6
k1,f496,31,0.6,1.0,1.0
k1,f497,38,0.6,1.0,1.0
k1,f498,45,0.6,1.0,1.0
k1,f499,21,0.6,1.0,0.6
k1,f500,28,0.6,1.0,0.6
k2,f1,49,0.6,0.6,1.0
k2,f2,25,0.6,0.6,0.6
k2,f3,32,0.6,0.6,0.6
k2,f4,39,0.6,0.6,0.6
k2,f5,46,0.6,0.6,1.0
k2,f6,22,0.6,0.6,0.6
k2,f7,29,0.6,0.6,1.0
k2,f8,36,0.6,0.6,0.6
k2,f9,43,0.6,0.6,1.0
k2,f10,50,0.6,0.6,1.0
k2,f11,26,0.6,0.6,1.0
k2,f12,33,0.6,0.6,0.6
k2,f13,40,0.6,0.6,0.6
k2,f14,47,0.6,0.6,1.0
k2,f15,23,0.6,0.6,1.0
k2,f16,30,0.6,0.6,0.6
k2,f17,37,0.6,0.6,0.6
k2,f18,44,0.6,0.6,1.0
k2,f19,20,0.6,0.6,0.6
k2,f20,27,0.6,0.6,0.6
k2,f21,34,0.6,0.6,0.6
k2,f22,41,0.6,0.6,1.0
k2,f23,48,0.6,0.6,1.0
k2,f24,24,0.6,0.6,0.6
k2,f25,31,0.6,0.6,0.6
k2,f26,38,0.6,0.6,0.6
k2,f27,45,0.6,0.6,1.0
k2,f28,21,0.6,0.6,0.6
k2,f29,28,0.6,0.6,1.0
k2,f30,35,0.6,0.6,0.6
k2,f31,42,0.6,0.6,1.0
k2,f32,49,0.6,0.6,1.0
k2,f33,25,0.6,0.6,1.0
k2,f34,32,0.6,0.6,0.6
k2,f35,39,0.6,0.6,0.6
k2,f36,46,0.6,0.6,1.0
k2,f37,22,0.6,0.6,0.6
k2,f38,29,0.6,0.6,0.6
k2,f39,36,0.6,0.6,0.6
k2,f40,43,0.6,0.6,1.0
k2,f41,50,0.6,0.6,1.0
k2,f42,26,0.6,0.6,0.6
k2,f43,33,0.6,0.6,0.6
k2,f44,40,0.6,0.6,0.6
k2,f45,47,0.6,0.6,1.0
k2,f46,23,0.6,0.6,1.0
k2,f47,30,0.6,0.6,1.0
k2,f48,37,0.6,0.6,0.6
k2,f49,44,0.6,0.6,1.0
k2,f50,20,0.6,0.6,1.0
k2,f51,27,0.6,0.6,1.0
k2,f52,34,0.6,0.6,0.6
k2,f53,41,0.6,0.6,0.6
k2,f54,48,0.6,0.6,1.0
k2,f55,24,0.6,0.6,1.0
k2,f56,31,0.6,0.6,0.6
k2,f57,38,0.6,0.6,0.6
k2,f58,45,0.6,0.6,1.0
k2,f59,21,0.6,0.6,1.0
k2,f60,28,0.6,0.6,0.6
k2,f61,35,0.6,0.6,0.6
k2,f62,42,0.6,0.6,1.0
k2,f63,49,0.6,0.6,1.0
k2,f64,25,0.6,0.6,0.6
k2,f65,32,0.6,0.6,0.6
k2,f66,39,0.6,0.6,0.6
k2,f67,46,0.6,0.6,1.0
k2,f68,22,0.6,0.6,1.0
k2,f69,29,0.6,0.6,1.0
k2,f70,36,0.6,0.6,0.6
k2,f71,43,0.6,0.6,1.0
k2,f72,50,0.6,0.6,1.0
k2,f73,26,0.6,0.6,0.6
k2,f74,33,0.6,0.6,0.6
k2,f75,40,0.6,0.6,0.6
k2,f76,47,0.6,0.6,1.0
k2,f77,23,0.6,0.6,0.6
k2,f78,30,0.6,0.6,1.0
k2,f79,37,0.6,0.6,0.6
k2,f80,44,0.6,0.6,1.0
k2,f81,20,0.6,0.6,1.0
k2,f82,27,0.6,0.6,1.0
k2,f83,34,0.6,0.6,0.6
k2,f84,41,0.6,0.6,0.6
k2,f85,48,0.6,0.6,1.0
k2,f86,24,0.6,0.6,1.0
k2,f87,31,0.6,0.6,0.6
k2,f88,38,0.6,0.6,0.6
k2,f89,45,0.6,0.6,1.0
k2,f90,21,0.6,0.6,1.0
k2,f91,28,0.6,0.6,0.6
k2,f92,35,0.6,0.6,0.6
k2,f93,42,0.6,0.6,1.0
k2,f94,49,0.6,0.6,1.0
k2,f95,25,0.6,0.6,0.6
k2,f96,32,0.6,0.6,0.6
k2,f97,39,0.6,0.6,0.6
k2,f98,46,0.6,0.6,1.0
k2,f99,22,0.6,0.6,0.6
k2,f100,29,0.6,0.6,1.0
k2,f101,36,0.6,0.6,0.6
k2,f102,43,0.6,0.6,1.0
k2,f103,50,0.6,0.6,1.0
k2,f104,26,0.6,0.6,0.6
k2,f105,33,0.6,0.6,0.6
k2,f106,40,0.6,0.6,0.6
k2,f107,47,0.6,0.6,1.0
k2,f108,23,0.6,0.6,1.0
k2,f109,30,0.6,0.6,1.0
k2,f110,37,0.6,0.6,0.6
k2,f111,44,0.6,0.6,0.6
k2,f112,20,0.6,0.6,0.6
k2,f113,27,0.6,0.6,1.0
k2,f114,34,0.6,0.6,0.6
k2,f115,41,0.6,0.6,0.6
k2,f116,48,0.6,0.6,1.0
k2,f117,24,0.6,0.6,1.0
k2,f118,31,0.6,0.6,0.6
k2,f119,38,0.6,0.6,0.6
k2,f120,45,0.6,0.6,1.0
k2,f121,21,0.6,0.6,0.6
k2,f122,28,0.6,0.6,1.0
k2,f123,35,0.6,0.6,0.6
k2,f124,42,0.6,0.6,1.0
k2,f125,49,0.6,0.6,1.0
k2,f126,25,0.6,0.6,0.6
k2,f127,32,0.6,0.6,0.6
k2,f128,39,0.6,0.6,0.6
k2,f129,46,0.6,0.6,1.0
k2,f130,22,0.6,0.6,0.7751515151533215
k2,f131,29,0.6,0.6,1.0
k2,f132,36,0.6,0.6,0.6
k2,f133,43,0.6,0.6,1.0
k2,f134,50,0.6,0.6,1.0
k2,f135,26,0.6,0.6,1.0
k2,f136,33,0.6,0.6,0.6
k2,f137,40,0.6,0.6,0.6
k2,f138,47,0.6,0.6,1.0
k2,f139,23,0.6,0.6,0.6
k2,f140,30,0.6,0.6,1.0
k2,f141,37,0.6,0.6,0.6
k2,f142,44,0.6,0.6,1.0
k2,f143,20,0.6,0.6,0.6
k2,f144,27,0.6,0.6,0.6
k2,f145,34,0.6,0.6,0.6
k2,f146,41,0.6,0.6,0.6
k2,f147,48,0.6,0.6,1.0
k2,f148,24,0.6,0.6,0.6
k2,f149,31,0.6,0.6,0.6
k2,f150,38,0.6,0.6,0.6
k2,f151,45,0.6,0.6,1.0
k2,f152,21,0.6,0.6,0.6
k2,f153,28,0.6,0.6,1.0
k2,f154,35,0.6,0.6,0.6
k2,f155,42,0.6,0.6,0.6
k2,f156,49,0.6,0.6,1.0
k2,f157,25,0.6,0.6,0.6
k2,f158,32,0.6,0.6,0.6
k2,f159,39,0.6,0.6,0.6
k2,f160,46,0.6,0.6,1.0
k2,f161,22,0.6,0.6,1.0
k2,f162,29,0.6,0.6,1.0
k2,f163,36,0.6,0.6,0.6
k2,f164,43,0.6,0.6,1.0
k2,f165,50,0.6,0.6,1.0
k2,f166,26,0.6,0.6,1.0
k2,f167,33,0.6,0.6,0.6
k2,f168,40,0.6,0.6,0.6
k2,f169,47,0.6,0.6,1.0
k2,f170,23,0.6,0.6,1.0
k2,f171,30,0.6,0.6,0.6
k2,f172,37,0.6,0.6,0.6
k2,f173,44,0.6,0.6,1.0
k2,f174,20,0.6,0.6,0.6
k2,f175,27,0.6,0.6,1.0
k2,f176,34,0.6,0.6,0.6
k2,f177,41,0.6,0.6,0.6
k2,f178,48,0.6,0.6,1.0
k2,f179,24,0.6,0.6,1.0
k2,f180,31,0.6,0.6,0.6
k2,f181,38,0.6,0.6,0.6
k2,f182,45,0.6,0.6,1.0
k2,f183,21,0.6,0.6,0.6
k2,f184,28,0.6,0.6,1.0
k2,f185,35,0.6,0.6,0.6
k2,f186,42,0.6,0.6,1.0
k2,f187,49,0.6,0.6,1.0
k2,f188,25,0.6,0.6,1.0
k2,f189,32,0.6,0.6,0.6
k2,f190,39,0.6,0.6,0.6
k2,f191,46,0.6,0.6,1.0
k2,f192,22,0.6,0.6,0.6
k2,f193,29,0.6,0.6,0.6
k2,f194,36,0.6,0.6,0.6
k2,f195,43,0.6,0.6,1.0
k2,f196,50,0.6,0.6,1.0
